games,sport,discipline,genre,viability,competitiveness
olympic,AL,SL,F,66.00528117367,53.747207372466335
olympic,AL,GS,F,16.911804045621114,71.80974113096113
olympic,AL,SG,F,77.66308580964774,5.238409357332829
olympic,AL,DH,F,60.15428202900273,56.559750549391666
olympic,AL,AC,F,62.34169601021436,76.58780136198884
olympic,SB,SBX,F,41.600785206386185,92.41379365207446
olympic,SB,HP,F,9.275139601312056,54.64845426641455
olympic,SB,SBS,F,8.194929156817354,48.706717797070276
olympic,SB,PAR,F,67.09967367993238,83.54213216147332
olympic,FS,SX,F,96.89770985925354,63.12293056248137
olympic,FS,HP,F,38.7990285867991,71.15057453072951
olympic,FS,SS,F,33.112609912307555,26.002500845563546
olympic,FS,MO,F,98.65787238301571,91.57766200282353
olympic,FS,AE,F,64.55802957849505,95.7863334794849
olympic,NC,NC,F,46.18142189501457,64.94598416357533
olympic,SJ,SJ,F,76.92801012959178,71.71433374151664
olympic,CC,CC,F,67.17306535133707,76.46079201629392
olympic,BT,BT,F,48.631970749070305,2.3127252578466595
