olympic/paralympic,sport,discipline,genre,viability,competitiveness
olympic,AL,SL,M,42.78581006134107,54.51814592825388
olympic,AL,GS,M,8.828902534427051,14.325461278904218
olympic,AL,SG,M,83.48849615010838,72.56303498925718
olympic,AL,DH,M,84.24784654623876,96.26133728755782
olympic,AL,AC,M,52.805325531010595,58.2884975178494
olympic,SB,SBX,M,63.103215793101874,9.500846958185738
olympic,SB,HP,M,88.911614254833,60.25387560442347
olympic,SB,SBS,M,3.3084454920812356,55.06575725337169
olympic,SB,PAR,M,77.07060278661983,45.94706288324851
olympic,FS,SX,M,32.676876796586406,63.434030016841646
olympic,FS,HP,M,82.34668600424152,9.92117827584954
olympic,FS,SS,M,1.180969970241763,8.850662372663908
olympic,FS,MO,M,40.34299130877778,17.48979640439159
olympic,FS,AE,M,76.02353500523022,62.898330678095995
olympic,NC,NC,M,9.586027323116896,25.040072664976275
olympic,SJ,SJ,M,40.977321686579835,46.593342450562126
olympic,CC,CC,M,88.79395739537223,38.2631864012114
olympic,BT,BT,M,94.98678628428466,62.71356676818246
